,date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carmelo1_pre,carmelo2_pre,carmelo1_post,carmelo2_post,carmelo_prob1,carmelo_prob2,score1,score2,team2_Pace,team2_eFG%,team2_TOV%,team2_ORB%,team2_FT/FGA,team2_ORtg,team2_DRtg,team2_NetRtg,team1_Pace,team1_eFG%,team1_TOV%,team1_ORB%,team1_FT/FGA,team1_ORtg,team1_DRtg,team1_NetRtg
27837,1986-10-31,1987,0,,DAL,UTA,1547.2805,1508.7253,0.6894582615184491,0.3105417384815509,1558.3049,1497.7009,,,,,,,103.0,77.0,103.1,0.311,16.9,25.4,0.233,74.7,99.9,-25.200000000000003,103.1,0.434,18.5,35.6,0.48700000000000004,99.9,74.7,25.200000000000003
27838,1986-10-31,1987,0,,BOS,WSB,1726.8047,1478.1702,0.8815197896828068,0.11848021031719325,1729.6266,1475.3483,,,,,,,120.0,102.0,97.8,0.435,17.9,40.0,0.32899999999999996,104.3,122.7,-18.400000000000006,97.8,0.565,15.9,43.8,0.298,122.7,104.3,18.400000000000006
27839,1986-10-31,1987,0,,PHO,GSW,1444.3523,1447.6735,0.6356487854800347,0.3643512145199653,1448.63,1443.3958,,,,,,,127.0,123.0,112.6,0.5,13.8,33.3,0.242,109.2,112.8,-3.5999999999999943,112.6,0.5329999999999999,17.6,34.1,0.315,112.8,109.2,3.5999999999999943
27840,1986-10-31,1987,0,,PHI,IND,1590.3137,1433.3845,0.8144219976342152,0.1855780023657848,1592.2609,1431.4374,,,,,,,108.0,104.0,98.4,0.47,12.5,31.8,0.313,105.7,109.8,-4.099999999999994,98.4,0.524,20.5,46.2,0.23800000000000002,109.8,105.7,4.099999999999994
27841,1986-10-31,1987,0,,DEN,SAS,1514.6084,1414.76,0.7595875989687396,0.2404124010312604,1523.6725,1405.6959,,,,,,,134.0,104.0,101.2,0.473,14.1,31.4,0.172,102.8,132.4,-29.60000000000001,101.2,0.544,10.3,51.4,0.225,132.4,102.8,29.60000000000001
27842,1986-10-31,1987,0,,NJN,NYK,1470.3269,1362.9786,0.7673830108903796,0.2326169891096204,1474.7209,1358.5846,,,,,,,108.0,97.0,100.6,0.38799999999999996,11.0,27.7,0.315,96.4,107.3,-10.899999999999991,100.6,0.452,15.7,37.5,0.39799999999999996,107.3,96.4,10.899999999999991
27843,1986-10-31,1987,0,,DET,MIL,1532.8929,1613.2163,0.5282866680073456,0.4717133319926544,1517.8015,1628.3077,,,,,,,104.0,120.0,101.2,0.5379999999999999,13.5,23.1,0.425,118.6,102.8,15.799999999999997,101.2,0.375,14.3,35.8,0.43200000000000005,102.8,118.6,-15.799999999999997
27844,1986-10-31,1987,0,,SAC,LAC,1461.1960000000001,1424.3226,0.687381665983639,0.31261833401636097,1463.4738,1422.0449,,,,,,,107.0,106.0,99.9,0.433,10.2,25.0,0.311,106.1,107.1,-1.0,99.9,0.46,17.7,50.0,0.295,107.1,106.1,1.0
27845,1986-10-31,1987,0,,POR,SEA,1482.1389,1451.3865,0.6797604871322097,0.3202395128677903,1459.899,1473.6263,,,,,,,110.0,127.0,101.7,0.622,19.2,44.8,0.233,124.8,108.1,16.700000000000003,101.7,0.506,17.7,27.3,0.41600000000000004,108.1,124.8,-16.700000000000003
27846,1986-11-01,1987,0,,MIL,BOS,1628.3077,1729.6266,0.4981019594426783,0.5018980405573217,1636.078,1721.8563,,,,,,,111.0,105.0,101.2,0.48200000000000004,16.3,28.6,0.271,103.8,109.7,-5.900000000000006,101.2,0.511,9.6,25.0,0.172,109.7,103.8,5.900000000000006
27847,1986-11-01,1987,0,,ATL,NJN,1567.9272,1474.7209,0.7525362135084505,0.24746378649154954,1574.9489999999998,1467.6992,,,,,,,131.0,111.0,107.8,0.494,18.7,25.0,0.455,103.0,121.6,-18.599999999999994,107.8,0.5539999999999999,16.8,43.2,0.315,121.6,103.0,18.599999999999994
27848,1986-11-01,1987,0,,LAC,PHO,1422.0449,1448.63,0.6041076634390417,0.3958923365609584,1427.8279,1442.8470000000002,,,,,,,117.0,111.0,105.6,0.5,16.8,31.4,0.233,105.1,110.8,-5.700000000000003,105.6,0.488,11.7,32.0,0.41700000000000004,110.8,105.1,5.700000000000003
27849,1986-11-01,1987,0,,IND,DET,1431.4374,1517.8015,0.5196135680001203,0.4803864319998797,1436.7507,1512.4882,,,,,,,92.0,89.0,97.8,0.42700000000000005,12.6,23.9,0.23199999999999998,91.0,94.1,-3.0999999999999943,97.8,0.46799999999999997,14.7,21.3,0.244,94.1,91.0,3.0999999999999943
27850,1986-11-01,1987,0,,CLE,WSB,1443.2375,1475.3483,0.5964756652467224,0.4035243347532777,1449.6772,1468.9086,,,,,,,113.0,106.0,107.9,0.469,15.7,34.0,0.155,98.2,104.7,-6.5,107.9,0.541,18.2,27.5,0.233,104.7,98.2,6.5
27851,1986-11-01,1987,0,,HOU,LAL,1611.4620000000002,1611.3174,0.6402567436752842,0.3597432563247158,1618.3748,1604.4047,,,,,,,112.0,102.0,95.3,0.488,17.7,42.1,0.3,107.0,117.5,-10.5,95.3,0.517,9.7,31.7,0.239,117.5,107.0,10.5
27852,1986-11-01,1987,0,,GSW,DEN,1443.3958,1523.6725,0.5283536591020322,0.4716463408979678,1459.6564,1507.4119,,,,,,,131.0,109.0,114.4,0.418,13.7,40.4,0.212,95.3,114.5,-19.200000000000003,114.4,0.5379999999999999,20.4,37.8,0.348,114.5,95.3,19.200000000000003
27853,1986-11-01,1987,0,,SAS,DAL,1405.6959,1558.3049,0.4248629416915673,0.5751370583084328,1412.4092,1551.5917,,,,,,,108.0,105.0,95.1,0.634,19.8,19.2,0.299,110.4,113.5,-3.0999999999999943,95.1,0.479,8.7,35.6,0.179,113.5,110.4,3.0999999999999943
27854,1986-11-01,1987,0,,NYK,CHI,1358.5846,1436.9487,0.5310963767458285,0.4689036232541714,1350.9779,1444.5554,,,,,,,103.0,108.0,95.4,0.42200000000000004,10.8,41.5,0.35600000000000004,113.2,108.0,5.200000000000003,95.4,0.45899999999999996,17.6,39.0,0.473,108.0,113.2,-5.200000000000003
27855,1986-11-01,1987,0,,SEA,SAC,1473.6263,1463.4738,0.6534159973884371,0.3465840026115629,1480.6409,1456.4592,,,,,,,114.0,103.0,105.0,0.39299999999999996,8.2,25.5,0.265,98.1,108.6,-10.5,105.0,0.49,14.7,41.3,0.13699999999999998,108.6,98.1,10.5
27856,1986-11-01,1987,0,,UTA,POR,1497.7009,1459.899,0.6885290643289688,0.31147093567103123,1503.1625,1454.4375,,,,,,,119.0,110.0,106.9,0.446,14.6,32.1,0.29,102.9,111.3,-8.399999999999991,106.9,0.455,8.8,47.5,0.162,111.3,102.9,8.399999999999991
27857,1986-11-02,1987,0,,PHI,ATL,1592.2609,1574.9489999999998,0.6626892534156615,0.3373107465843385,1578.0237,1589.1862,,,,,,,113.0,122.0,99.0,0.527,11.5,40.5,0.245,123.2,114.1,9.100000000000009,99.0,0.53,17.1,43.6,0.301,114.1,123.2,-9.100000000000009
