,date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carmelo1_pre,carmelo2_pre,carmelo1_post,carmelo2_post,carmelo_prob1,carmelo_prob2,score1,score2,team2_Pace,team2_eFG%,team2_TOV%,team2_ORB%,team2_FT/FGA,team2_ORtg,team2_DRtg,team2_NetRtg,team1_Pace,team1_eFG%,team1_TOV%,team1_ORB%,team1_FT/FGA,team1_ORtg,team1_DRtg,team1_NetRtg
34495,1992-11-06,1993,0,,CLE,CHI,1623.1532,1697.6267,0.5366696291692968,0.4633303708307032,1615.4423,1705.3376,,,,,,,96.0,101.0,94.0,0.449,7.0,35.2,0.133,107.4,102.1,5.300000000000011,94.0,0.41200000000000003,9.7,28.6,0.231,102.1,107.4,-5.300000000000011
34496,1992-11-06,1993,0,,CHH,WSB,1407.5917,1380.5376,0.6751085117126913,0.32489148828730874,1412.5538,1375.5754,,,,,,,126.0,119.0,108.2,0.526,15.2,27.5,0.2,110.0,116.4,-6.400000000000006,108.2,0.511,15.8,40.0,0.37799999999999995,116.4,110.0,6.400000000000006
34497,1992-11-06,1993,0,,BOS,MIN,1600.9678,1325.2939,0.8968359765195715,0.10316402348042852,1603.6565,1322.6052,,,,,,,113.0,92.0,95.3,0.442,18.9,31.7,0.312,96.5,118.5,-22.0,95.3,0.5529999999999999,12.6,35.0,0.22399999999999998,118.5,96.5,22.0
34498,1992-11-06,1993,0,,ATL,NYK,1469.5845,1590.0092,0.4706403076294765,0.5293596923705235,1458.8076,1600.786,,,,,,,94.0,106.0,93.9,0.544,16.4,38.7,0.23800000000000002,112.9,100.1,12.800000000000011,93.9,0.527,18.2,22.5,0.2,100.1,112.9,-12.800000000000011
34499,1992-11-06,1993,0,,LAC,LAL,1539.9475,1482.0496,0.7127818490939543,0.2872181509060457,1532.0635,1489.9336,,,,,,,112.0,114.0,97.7,0.5670000000000001,20.5,28.2,0.256,105.7,103.8,1.9000000000000057,97.7,0.452,12.7,32.7,0.301,103.8,105.7,-1.9000000000000057
34500,1992-11-06,1993,1,,SEA,HOU,1561.5071,1468.3109,0.6309933020369396,0.3690066979630604,1571.567,1458.251,,,,,,,111.0,94.0,92.9,0.48,9.8,47.2,0.139,119.5,101.2,18.299999999999997,92.9,0.488,11.4,24.4,0.129,101.2,119.5,-18.299999999999997
34501,1992-11-06,1993,0,,DET,MIL,1527.5417,1411.5226,0.7761736770551084,0.2238263229448916,1514.335,1424.7294,,,,,,,81.0,86.0,92.4,0.486,18.1,14.3,0.18899999999999997,93.1,87.7,5.3999999999999915,92.4,0.32899999999999996,13.5,40.7,0.294,87.7,93.1,-5.3999999999999915
34502,1992-11-06,1993,0,,ORL,MIA,1361.4072,1446.3146,0.5217063455452734,0.4782936544547266,1371.2158,1436.506,,,,,,,110.0,100.0,100.7,0.466,19.6,34.9,0.43799999999999994,99.3,109.3,-10.0,100.7,0.637,21.9,23.5,0.233,109.3,99.3,10.0
34503,1992-11-06,1993,0,,UTA,GSW,1606.4431,1565.4242,0.6924865612997625,0.3075134387002375,1585.4254,1586.4419,,,,,,,114.0,129.0,99.3,0.606,11.6,33.3,0.306,129.9,114.8,15.100000000000009,99.3,0.512,12.2,30.8,0.349,114.8,129.9,-15.100000000000009
34504,1992-11-06,1993,0,,SAC,SAS,1422.5575,1502.9583,0.5281756355565352,0.4718243644434648,1430.9929,1494.5228,,,,,,,114.0,106.0,102.1,0.48,13.6,16.2,0.45299999999999996,103.8,111.6,-7.799999999999997,102.1,0.469,11.3,34.6,0.25,111.6,103.8,7.799999999999997
34505,1992-11-06,1993,0,,PHI,NJN,1440.6339,1497.2373,0.5621299589968002,0.4378700410031998,1434.1226,1503.7487,,,,,,,111.0,114.0,107.6,0.495,18.1,35.6,0.25,105.9,103.1,2.8000000000000114,107.6,0.526,15.7,15.8,0.37200000000000005,103.1,105.9,-2.8000000000000114
34506,1992-11-07,1993,0,,DAL,UTA,1330.3378,1585.4254,0.2905414155067226,0.7094585844932775,1323.0702,1592.693,,,,,,,106.0,122.0,109.0,0.5539999999999999,16.2,22.2,0.541,111.9,97.2,14.700000000000003,109.0,0.446,12.9,22.0,0.247,97.2,111.9,-14.700000000000003
34507,1992-11-07,1993,0,,CHI,ATL,1705.3376,1458.8076,0.8802486622301171,0.11975133776988288,1695.4926,1468.6527,,,,,,,99.0,100.0,91.8,0.58,17.4,22.6,0.29,108.9,107.8,1.1000000000000085,91.8,0.48100000000000004,17.7,38.5,0.275,107.8,108.9,-1.1000000000000085
34508,1992-11-07,1993,0,,IND,DET,1521.4877,1514.335,0.6494950815200108,0.3505049184799892,1514.6227,1521.2,,,,,,,87.0,89.0,87.2,0.486,15.8,32.5,0.282,102.1,99.8,2.299999999999997,87.2,0.39299999999999996,15.1,34.0,0.373,99.8,102.1,-2.299999999999997
34509,1992-11-07,1993,0,,DEN,SAS,1313.3285,1494.5228,0.3852337166800992,0.6147662833199008,1321.6447,1486.2067,,,,,,,125.0,121.0,96.0,0.48,16.5,38.2,0.276,104.3,107.7,-3.4000000000000057,96.0,0.45,11.2,38.3,0.225,107.7,104.3,3.4000000000000057
34510,1992-11-07,1993,0,,PHO,LAC,1593.3826,1532.0635,0.7167967291560838,0.28320327084391617,1597.2618,1528.1842,,,,,,,111.0,105.0,95.0,0.5429999999999999,13.9,17.1,0.21,110.5,116.8,-6.299999999999997,95.0,0.42700000000000005,10.2,44.9,0.39299999999999996,116.8,110.5,6.299999999999997
