,date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carmelo1_pre,carmelo2_pre,carmelo1_post,carmelo2_post,carmelo_prob1,carmelo_prob2,score1,score2,team2_Pace,team2_eFG%,team2_TOV%,team2_ORB%,team2_FT/FGA,team2_ORtg,team2_DRtg,team2_NetRtg,team1_Pace,team1_eFG%,team1_TOV%,team1_ORB%,team1_FT/FGA,team1_ORtg,team1_DRtg,team1_NetRtg
42611,1999-11-02,2000,0,,VAN,POR,1290.4038,1569.1449,0.2632942208588925,0.7367057791411076,1282.8573,1576.6914,,,,,,,86.0,106.0,88.8,0.5670000000000001,10.0,25.7,0.159,119.4,96.9,22.5,88.8,0.413,15.1,33.3,0.32,96.9,119.4,-22.5
42612,1999-11-02,2000,0,,UTA,LAL,1593.3601,1559.0149,0.6842457978607613,0.31575420213923866,1580.4609,1571.9141,,,,,,,84.0,91.0,86.4,0.48700000000000004,15.5,34.8,0.22399999999999998,105.3,97.2,8.099999999999994,86.4,0.455,17.6,21.6,0.34299999999999997,97.2,105.3,-8.099999999999994
42613,1999-11-02,2000,0,,TOR,BOS,1454.9797,1466.9823,0.6239982470464663,0.3760017529535337,1438.5303,1483.4318,,,,,,,90.0,103.0,92.7,0.589,17.1,18.8,0.233,111.2,97.1,14.100000000000009,92.7,0.46,16.2,23.3,0.28,97.1,111.2,-14.100000000000009
42614,1999-11-02,2000,0,,SAS,PHI,1692.9319,1542.058,0.8090959018805945,0.19090409811940545,1696.8281,1538.1617,,,,,,,89.0,76.0,86.9,0.36700000000000005,11.5,27.1,0.18100000000000002,87.4,102.4,-15.0,86.9,0.47200000000000003,19.1,40.5,0.292,102.4,87.4,15.0
42615,1999-11-02,2000,0,,NYK,CLE,1591.536,1468.3152,0.7832932714691022,0.21670672853089776,1594.8749,1464.9763,,,,,,,92.0,84.0,91.5,0.435,17.1,20.5,0.221,91.8,100.5,-8.700000000000003,91.5,0.473,14.9,23.7,0.297,100.5,91.8,8.700000000000003
42616,1999-11-02,2000,0,,DAL,GSW,1442.5089,1432.4757,0.6532604580817929,0.3467395419182071,1449.9255,1425.0591,,,,,,,108.0,96.0,97.9,0.457,19.7,37.5,0.256,98.0,110.3,-12.299999999999997,97.9,0.47100000000000003,11.5,25.0,0.32899999999999996,110.3,98.0,12.299999999999997
42617,1999-11-02,2000,0,,CHH,ORL,1547.1558,1539.5251,0.6501212261977503,0.3498787738022497,1555.4423,1531.2386,,,,,,,100.0,86.0,101.5,0.425,19.3,26.7,0.225,84.7,98.5,-13.799999999999997,101.5,0.47600000000000003,17.6,28.0,0.268,98.5,84.7,13.799999999999997
42618,1999-11-02,2000,0,,NJN,IND,1459.8492,1615.7559,0.4202310860565596,0.5797689139434404,1453.0813,1622.5238,,,,,,,112.0,119.0,102.6,0.513,16.5,33.3,0.5,116.0,109.2,6.799999999999997,102.6,0.475,15.1,34.9,0.43200000000000005,109.2,116.0,-6.799999999999997
42619,1999-11-02,2000,0,,DEN,PHO,1337.7113,1540.8169,0.3558267987447916,0.6441732012552084,1347.5929999999998,1530.9352,,,,,,,107.0,102.0,94.7,0.428,10.0,33.3,0.063,97.6,102.3,-4.700000000000003,94.7,0.494,15.2,26.0,0.213,102.3,97.6,4.700000000000003
42620,1999-11-02,2000,0,,MIA,DET,1565.5476,1569.7031,0.6345357793138786,0.3654642206861214,1570.7971,1564.4536,,,,,,,128.0,122.0,96.9,0.46,13.9,25.4,0.313,104.2,109.4,-5.200000000000003,96.9,0.434,9.9,36.1,0.34,109.4,104.2,5.200000000000003
42621,1999-11-02,2000,0,,LAC,SEA,1347.7274,1483.7173,0.4483908328573109,0.5516091671426891,1337.5844,1493.8604,,,,,,,92.0,104.0,94.4,0.435,9.3,36.5,0.247,110.2,97.5,12.700000000000003,94.4,0.48700000000000004,15.9,26.1,0.205,97.5,110.2,-12.700000000000003
