,date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carmelo1_pre,carmelo2_pre,carmelo1_post,carmelo2_post,carmelo_prob1,carmelo_prob2,score1,score2,team2_Pace,team2_eFG%,team2_TOV%,team2_ORB%,team2_FT/FGA,team2_ORtg,team2_DRtg,team2_NetRtg,team1_Pace,team1_eFG%,team1_TOV%,team1_ORB%,team1_FT/FGA,team1_ORtg,team1_DRtg,team1_NetRtg
30961,1989-11-03,1990,0,,UTA,DEN,1525.0464,1477.2523,0.7007289002716035,0.2992710997283965,1530.2565,1472.0422,,,,,,,122.0,113.0,111.8,0.43,8.7,18.0,0.27,101.1,109.1,-8.0,111.8,0.634,19.6,20.6,0.22,109.1,101.1,8.0
30962,1989-11-03,1990,0,,SEA,MIN,1522.9867,1300.0,0.8652107768563783,0.13478922314362174,1525.4795,1297.5072,,,,,,,106.0,94.0,90.0,0.451,11.4,32.6,0.259,104.5,117.8,-13.299999999999997,90.0,0.56,18.6,39.4,0.293,117.8,104.5,13.299999999999997
30963,1989-11-03,1990,0,,BOS,MIL,1504.2391,1537.2512,0.5952262580811332,0.4047737419188669,1513.6538,1527.8365,,,,,,,127.0,114.0,99.8,0.452,8.1,19.5,0.47,114.2,127.2,-13.0,99.8,0.611,14.0,35.5,0.34600000000000003,127.2,114.2,13.0
30964,1989-11-03,1990,0,,ATL,IND,1589.0162,1462.0891,0.7868929163716396,0.2131070836283604,1554.2733,1496.832,,,,,,,103.0,126.0,103.6,0.54,11.1,35.9,0.368,121.6,99.4,22.19999999999999,103.6,0.452,14.0,35.6,0.191,99.4,121.6,-22.19999999999999
30965,1989-11-03,1990,0,,DAL,LAL,1437.6743,1633.9108,0.3649410893492502,0.6350589106507498,1431.5212,1640.0638,,,,,,,94.0,102.0,97.6,0.478,15.7,38.0,0.152,104.5,96.3,8.200000000000003,97.6,0.423,15.7,34.0,0.27399999999999997,96.3,104.5,-8.200000000000003
30966,1989-11-03,1990,0,,POR,SAC,1476.2107,1425.3556,0.7044109467925241,0.29558905320747586,1484.245,1417.3213,,,,,,,114.0,96.0,102.3,0.429,13.4,20.0,0.28600000000000003,93.9,111.5,-17.599999999999994,102.3,0.515,17.2,45.0,0.11,111.5,93.9,17.599999999999994
30967,1989-11-03,1990,0,,CHI,CLE,1561.0237,1593.2637,0.5962966410168339,0.4037033589831661,1566.4136,1587.8738,,,,,,,124.0,119.0,98.8,0.5379999999999999,15.7,30.2,0.204,109.1,113.6,-4.5,98.8,0.495,9.7,29.8,0.344,113.6,109.1,4.5
30968,1989-11-03,1990,0,,CHH,WSB,1333.4064,1501.4070000000002,0.40336999547463015,0.5966300045253699,1320.8735,1513.9398,,,,,,,96.0,116.0,105.4,0.462,14.7,40.4,0.32299999999999995,110.1,91.1,19.0,105.4,0.462,17.7,15.2,0.308,91.1,110.1,-19.0
30969,1989-11-03,1990,0,,PHO,GSW,1618.5417,1481.3505,0.7966330706175601,0.20336692938243994,1626.0166,1473.8756,,,,,,,136.0,106.0,113.1,0.42700000000000005,21.7,31.9,0.337,93.7,120.2,-26.5,113.1,0.526,12.9,35.6,0.365,120.2,93.7,26.5
30970,1989-11-03,1990,0,,DET,NYK,1717.3182,1537.3611,0.8336282216518576,0.16637177834814246,1718.8381,1535.8412,,,,,,,106.0,103.0,95.5,0.512,17.5,32.5,0.217,107.9,111.0,-3.0999999999999943,95.5,0.494,16.0,41.9,0.354,111.0,107.9,3.0999999999999943
