Season,Team,Rk,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NetRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Arena,Attend.,Attend./G,ELO
1984,Seattle SuperSonics,12.0,27.1,42.0,40.0,41.0,41.0,-0.17,-0.17,-0.34,107.9,108.1,-0.19999999999998866,99.7,0.34700000000000003,0.02,0.5429999999999999,0.49,14.3,30.7,0.271,0.4920000000000001,13.8,66.6,0.226,King County Domed Stadium,425307.0,,1508.3549
1984,Utah Jazz,9.0,26.8,45.0,37.0,44.0,38.0,1.13,-0.32,0.81,109.0,108.0,1.0,104.9,0.374,0.044000000000000004,0.5589999999999999,0.505,15.2,30.8,0.292,0.479,13.9,63.4,0.22899999999999998,Salt Palace,400065.0,,1493.1279
1984,Washington Bullets,17.0,26.2,35.0,47.0,33.0,49.0,-2.89,0.53,-2.36,104.2,107.2,-3.0,97.4,0.319,0.040999999999999995,0.535,0.489,15.5,30.1,0.24100000000000002,0.4920000000000001,13.7,69.7,0.239,Capital Centre,317447.0,,1435.0675
1985,Atlanta Hawks,15.0,25.5,34.0,48.0,37.0,45.0,-1.45,0.31,-1.14,105.9,107.3,-1.3999999999999917,99.8,0.33299999999999996,0.033,0.536,0.489,15.3,32.5,0.25,0.485,15.2,63.8,0.249,Omni Coliseum,290746.0,,1468.5698
1985,Boston Celtics,3.0,28.5,63.0,19.0,57.0,25.0,6.65,-0.18,6.47,112.8,106.3,6.5,101.6,0.315,0.042,0.564,0.515,13.8,32.8,0.254,0.48100000000000004,12.6,70.4,0.198,Boston Garden,610547.0,,1667.8104
1985,Chicago Bulls,14.0,25.2,38.0,44.0,39.0,43.0,-0.84,0.34,-0.5,108.7,109.6,-0.8999999999999915,99.4,0.366,0.023,0.556,0.502,15.4,32.2,0.287,0.495,13.8,67.5,0.257,Chicago Stadium,487297.0,,1446.5389
1985,Cleveland Cavaliers,16.0,26.6,36.0,46.0,34.0,48.0,-2.76,0.48,-2.27,106.0,108.7,-2.700000000000003,101.9,0.33799999999999997,0.045,0.526,0.478,14.1,32.9,0.254,0.483,13.7,66.9,0.265,Coliseum at Richfield,324004.0,,1522.6919
1985,Dallas Mavericks,8.0,25.0,44.0,38.0,47.0,35.0,2.17,-0.37,1.8,111.5,109.3,2.200000000000003,98.8,0.319,0.061,0.5489999999999999,0.499,12.5,30.7,0.253,0.51,14.2,68.8,0.221,Reunion Arena,683916.0,,1525.8158
1985,Denver Nuggets,7.0,28.3,52.0,30.0,47.0,35.0,2.44,-0.39,2.05,110.7,108.4,2.299999999999997,107.6,0.322,0.028999999999999998,0.54,0.491,13.2,33.6,0.253,0.516,17.0,66.1,0.275,McNichols Sports Arena,448546.0,,1580.4573
1985,Detroit Pistons,6.0,26.9,46.0,36.0,47.0,35.0,2.49,0.24,2.73,109.6,107.2,2.3999999999999915,105.0,0.28300000000000003,0.025,0.529,0.483,13.0,35.4,0.223,0.501,14.9,69.6,0.245,Pontiac Silverdome,691550.0,,1568.9507
