,date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carmelo1_pre,carmelo2_pre,carmelo1_post,carmelo2_post,carmelo_prob1,carmelo_prob2,score1,score2,team2_Pace,team2_eFG%,team2_TOV%,team2_ORB%,team2_FT/FGA,team2_ORtg,team2_DRtg,team2_NetRtg,team1_Pace,team1_eFG%,team1_TOV%,team1_ORB%,team1_FT/FGA,team1_ORtg,team1_DRtg,team1_NetRtg
28851,1987-11-06,1988,0,,SAC,GSW,1445.0886,1483.4503,0.5877855814964185,0.4122144185035816,1461.4296,1467.1094,,,,,,,134.0,106.0,110.4,0.423,9.6,20.8,0.17300000000000001,96.0,121.4,-25.400000000000006,110.4,0.575,15.7,37.5,0.391,121.4,96.0,25.400000000000006
28852,1987-11-06,1988,0,,POR,PHO,1519.5383,1474.8031,0.6970232684406635,0.3029767315593365,1526.5232,1467.8182,,,,,,,118.0,104.0,106.8,0.5,22.2,28.9,0.23800000000000002,97.4,110.5,-13.099999999999994,106.8,0.625,21.0,22.9,0.389,110.5,97.4,13.099999999999994
28853,1987-11-06,1988,0,,ATL,WSB,1616.0466,1478.3618,0.7970930128915114,0.20290698710848865,1621.0411,1473.3673,,,,,,,114.0,97.0,98.9,0.406,13.2,23.5,0.4,98.1,115.3,-17.200000000000003,98.9,0.529,14.4,43.2,0.267,115.3,98.1,17.200000000000003
28854,1987-11-06,1988,0,,DEN,LAC,1489.8871,1281.7496,0.8549273738245475,0.14507262617545247,1496.8696,1274.7671,,,,,,,139.0,93.0,117.3,0.39899999999999997,19.0,21.1,0.191,79.3,118.5,-39.2,117.3,0.519,12.5,32.4,0.311,118.5,79.3,39.2
28855,1987-11-06,1988,0,,PHI,IND,1524.1042,1511.5967,0.6564796248148748,0.34352037518512524,1531.8273,1503.8737,,,,,,,108.0,95.0,95.4,0.5,18.0,31.0,0.11800000000000001,99.6,113.2,-13.600000000000009,95.4,0.551,15.4,36.4,0.266,113.2,99.6,13.600000000000009
28856,1987-11-06,1988,0,,DAL,UTA,1564.5291,1483.2966,0.7394781754832348,0.2605218245167652,1566.7279,1481.0978,,,,,,,95.0,93.0,102.9,0.45299999999999996,20.0,28.9,0.188,90.4,92.3,-1.8999999999999915,102.9,0.353,11.1,35.1,0.295,92.3,90.4,1.8999999999999915
28857,1987-11-06,1988,0,,BOS,MIL,1620.6268,1588.1033,0.6819757774654871,0.318024222534513,1629.0503,1579.6798,,,,,,,125.0,108.0,102.9,0.447,10.6,17.1,0.376,104.9,121.4,-16.5,102.9,0.51,12.2,48.9,0.171,121.4,104.9,16.5
28858,1987-11-06,1988,0,,NJN,CLE,1412.3771,1446.8331,0.5932221155532449,0.4067778844467551,1402.6949,1456.5153,,,,,,,108.0,114.0,109.7,0.585,21.9,28.2,0.22,103.9,98.4,5.5,109.7,0.41200000000000003,14.2,39.7,0.289,98.4,103.9,-5.5
28859,1987-11-06,1988,0,,DET,NYK,1619.4186,1368.4022,0.8829443616787347,0.11705563832126532,1621.4313,1366.3895,,,,,,,110.0,99.0,110.3,0.48200000000000004,24.0,20.0,0.214,89.8,99.7,-9.900000000000006,110.3,0.47100000000000003,21.6,30.8,0.652,99.7,89.8,9.900000000000006
28860,1987-11-06,1988,0,,LAL,SEA,1680.9379,1508.8931,0.8272148803330959,0.17278511966690413,1682.7328,1507.0981,,,,,,,113.0,109.0,105.8,0.474,15.0,34.0,0.163,103.0,106.8,-3.799999999999997,105.8,0.5,19.4,29.3,0.48700000000000004,106.8,103.0,3.799999999999997
