,result,season,team1,team2,d_ELO,d_NetRtg,d_SRS
25883,1,1985,HOU,SEA,-5.5448999999998705,17.161904761904758,7.754839285714285
25884,1,1985,GSW,LAL,-161.04359999999997,-16.849999999999998,-13.808698979591837
25885,1,1985,DEN,POR,-21.51599999999985,-5.585714285714291,-6.50029761904762
25886,1,1985,DAL,ATL,-36.249100000000226,-5.385714285714281,-0.829485544217688
25887,0,1985,NYK,CHI,115.04330000000004,-1.4285714285714297,-1.7607407407407403
25888,1,1985,PHO,CLE,211.58349999999996,17.664285714285718,16.624460317460315
25889,1,1985,WSB,LAC,-5.097600000000057,-3.0160714285714265,-5.24388350340136
25890,0,1985,NJN,KCK,127.5327000000002,8.450000000000001,0.9995826719576739
25891,1,1985,MIL,IND,188.85670000000005,12.809523809523812,12.408742724867723
25892,1,1985,BOS,PHI,69.89670000000001,2.4399999999999977,4.50908234126984
25893,1,1985,UTA,GSW,46.20710000000008,8.543333333333331,2.5665902777777774
25894,0,1985,POR,LAL,-12.379400000000032,7.13333333333334,7.475757511337866
25895,0,1985,PHO,ATL,71.2663,3.4160714285714295,1.2289843159486018
25896,1,1985,DAL,SEA,12.853200000000015,4.456944444444446,4.046676091269841
25897,1,1985,NYK,KCK,90.19380000000001,5.86607142857143,1.4110861678004545
25898,0,1985,IND,CHI,-34.50099999999975,-7.855357142857145,-10.748078042328043
25899,1,1985,DEN,UTA,49.52670000000012,2.70535714285714,6.161789682539683
25900,1,1985,HOU,LAC,40.93160000000012,15.291964285714286,7.1420383597883585
25901,1,1985,DET,MIL,-50.13839999999982,-11.162499999999998,-7.315535714285714
25902,1,1985,WSB,BOS,-233.8393000000001,-18.433333333333334,-17.4710376984127
25903,1,1985,SAS,CLE,141.7261000000001,12.600000000000001,10.80588378684807
25904,1,1985,LAL,NJN,49.23979999999983,3.0825000000000005,6.190437137818089
25905,1,1985,POR,GSW,110.3782000000001,14.722222222222225,11.713488005050504
25906,1,1985,UTA,DAL,3.104000000000042,2.81,-3.139357566595662
25907,0,1985,IND,BOS,-246.91810000000032,-12.450000000000001,-12.923539751254037
25908,0,1985,ATL,MIL,-83.7693999999999,-8.022222222222224,-4.6347373286435785
25909,1,1985,HOU,CLE,131.6123,25.218055555555555,18.327596636002884
25910,1,1985,DEN,PHO,-11.246899999999869,3.1486111111111112,5.552743506493506
25911,1,1985,CHI,SAS,-58.48790000000008,-0.2333333333333325,2.1407759740259737
25912,1,1985,SEA,GSW,30.47739999999999,0.5984126984126981,0.4628635161135155
25913,0,1985,LAC,NJN,-97.97769999999991,-5.372222222222224,0.876427669552668
25914,0,1985,POR,DAL,81.19439999999986,12.353636363636367,8.122790957190958
