,date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carmelo1_pre,carmelo2_pre,carmelo1_post,carmelo2_post,carmelo_prob1,carmelo_prob2,score1,score2,team2_Pace,team2_eFG%,team2_TOV%,team2_ORB%,team2_FT/FGA,team2_ORtg,team2_DRtg,team2_NetRtg,team1_Pace,team1_eFG%,team1_TOV%,team1_ORB%,team1_FT/FGA,team1_ORtg,team1_DRtg,team1_NetRtg
39299,1996-11-01,1997,0,,MIN,SAS,1388.2063,1585.3911,0.36367688559559097,0.6363231144044089,1396.9335,1576.6639,,,,,,,82.0,78.0,87.5,0.45799999999999996,17.5,25.0,0.16699999999999998,89.1,93.7,-4.6000000000000085,87.5,0.439,16.8,22.5,0.23,93.7,89.1,4.6000000000000085
39300,1996-11-01,1997,0,,MIA,ATL,1516.4915,1543.1403,0.6040199627219625,0.3959800372780376,1525.6573,1533.9744,,,,,,,94.0,81.0,89.5,0.415,22.5,27.0,0.415,90.5,105.1,-14.599999999999994,89.5,0.513,17.2,30.2,0.179,105.1,90.5,14.599999999999994
39301,1996-11-01,1997,0,,BOS,CHI,1446.1465,1743.5226,0.2430209059360273,0.7569790940639727,1442.0605,1747.6085,,,,,,,98.0,107.0,95.9,0.574,17.7,26.7,0.297,111.5,102.2,9.299999999999997,95.9,0.5,16.1,32.6,0.16699999999999998,102.2,111.5,-9.299999999999997
39302,1996-11-01,1997,0,,DEN,DAL,1429.5452,1385.6128,0.6960464486593018,0.30395355134069824,1423.1863,1391.9717,,,,,,,91.0,92.0,95.8,0.42,16.7,40.8,0.205,96.0,95.0,1.0,95.8,0.37799999999999995,17.1,35.3,0.41,95.0,96.0,-1.0
39303,1996-11-01,1997,0,,DET,IND,1522.6118,1567.7451,0.578309635090646,0.421690364909354,1528.8593,1561.4977,,,,,,,95.0,89.0,88.6,0.486,17.6,26.3,0.23,100.4,107.2,-6.799999999999997,88.6,0.515,16.9,29.7,0.368,107.2,100.4,6.799999999999997
39304,1996-11-01,1997,0,,LAL,PHO,1597.6305,1512.4723,0.7438080960927941,0.2561919039072059,1603.3704,1506.7324,,,,,,,96.0,82.0,92.2,0.368,10.7,27.3,0.165,88.9,104.1,-15.199999999999989,92.2,0.54,22.2,34.4,0.444,104.1,88.9,15.199999999999989
39305,1996-11-01,1997,0,,HOU,SAC,1499.2479999999998,1449.3358,0.7032795451007877,0.2967204548992123,1505.0829,1443.501,,,,,,,96.0,85.0,99.7,0.47200000000000003,24.7,22.2,0.23600000000000002,85.2,96.3,-11.099999999999994,99.7,0.43700000000000006,17.3,34.7,0.23,96.3,85.2,11.099999999999994
39306,1996-11-01,1997,0,,GSW,LAC,1456.8396,1401.9432,0.7092316613606209,0.2907683386393791,1437.9994,1420.7834,,,,,,,85.0,97.0,93.5,0.5,17.8,37.2,0.128,103.8,90.9,12.899999999999991,93.5,0.40700000000000003,18.6,26.7,0.32,90.9,103.8,-12.899999999999991
39307,1996-11-01,1997,0,,NJN,CLE,1371.3518,1519.0219,0.4318244852946224,0.5681755147053776,1361.1584,1529.2152,,,,,,,77.0,90.0,80.8,0.507,15.7,33.3,0.23600000000000002,111.4,95.3,16.10000000000001,80.8,0.474,22.5,32.4,0.379,95.3,111.4,-16.10000000000001
39308,1996-11-01,1997,0,,ORL,WSB,1607.5236,1499.9949,0.7675683321437553,0.2324316678562447,1595.8821,1511.6364,,,,,,,92.0,96.0,88.6,0.5,15.5,29.7,0.297,108.4,103.9,4.5,88.6,0.41200000000000003,13.8,45.8,0.187,103.9,108.4,-4.5
39309,1996-11-01,1997,0,,PHI,MIL,1318.0294,1381.0345,0.5530396382806867,0.4469603617193133,1307.6807,1391.3833,,,,,,,103.0,111.0,95.0,0.47600000000000003,11.9,42.2,0.369,116.9,108.5,8.400000000000006,95.0,0.45799999999999996,11.6,31.1,0.325,108.5,116.9,-8.400000000000006
39310,1996-11-01,1997,0,,VAN,POR,1294.7073,1547.9785,0.2927013994157416,0.7072986005842584,1283.5828,1559.1029999999998,,,,,,,85.0,114.0,90.6,0.564,16.3,55.0,0.198,125.8,93.8,32.0,90.6,0.474,14.9,22.0,0.156,93.8,125.8,-32.0
39311,1996-11-01,1997,0,,UTA,SEA,1641.3391,1653.96,0.6231627990206724,0.3768372009793276,1647.7349,1647.5642,,,,,,,99.0,91.0,88.1,0.433,11.8,27.3,0.34700000000000003,103.3,112.4,-9.100000000000009,88.1,0.48700000000000004,8.9,24.4,0.295,112.4,103.3,9.100000000000009
39312,1996-11-01,1997,0,,TOR,NYK,1323.7397,1552.6101,0.3226024300001424,0.6773975699998576,1318.4292,1557.9207,,,,,,,99.0,107.0,102.1,0.515,21.0,29.7,0.544,104.7,96.9,7.799999999999997,102.1,0.513,20.7,25.0,0.244,96.9,104.7,-7.799999999999997
39313,1996-11-02,1997,0,,ATL,DET,1533.9744,1528.8593,0.6468202168096757,0.3531797831903243,1517.5392,1545.2944,,,,,,,78.0,90.0,81.7,0.467,12.4,32.6,0.267,110.2,95.5,14.700000000000003,81.7,0.45799999999999996,19.3,32.4,0.16699999999999998,95.5,110.2,-14.700000000000003
39314,1996-11-02,1997,0,,WSB,CLE,1511.6364,1529.2152,0.616437549085849,0.383562450914151,1505.2588,1535.5928,,,,,,,96.0,98.0,87.6,0.447,15.0,35.4,0.259,101.3,99.2,2.0999999999999943,87.6,0.457,13.1,27.1,0.256,99.2,101.3,-2.0999999999999943
39315,1996-11-02,1997,0,,DAL,SAC,1391.9717,1443.501,0.5693058931334644,0.4306941068665357,1377.4578,1458.0149,,,,,,,94.0,107.0,91.9,0.5,14.5,43.6,0.408,116.5,102.3,14.200000000000003,91.9,0.48,17.4,31.8,0.276,102.3,116.5,-14.200000000000003
39316,1996-11-02,1997,0,,SEA,POR,1647.5642,1559.1029999999998,0.7474144550930005,0.2525855449069995,1652.3981,1554.2692,,,,,,,104.0,93.0,94.9,0.5539999999999999,22.1,21.4,0.32299999999999995,98.0,109.6,-11.599999999999994,94.9,0.474,14.6,20.0,0.40299999999999997,109.6,98.0,11.599999999999994
39317,1996-11-02,1997,0,,CHI,PHI,1747.6085,1307.6807,0.9572245743787174,0.042775425621282566,1748.8831,1306.4061,,,,,,,115.0,86.0,100.8,0.41600000000000004,18.2,32.0,0.135,85.3,114.1,-28.799999999999997,100.8,0.527,13.6,31.1,0.183,114.1,85.3,28.799999999999997
39318,1996-11-02,1997,0,,CHH,TOR,1482.3223,1318.4292,0.8204045565896014,0.17959544341039854,1485.588,1315.1635,,,,,,,109.0,98.0,91.6,0.506,10.7,23.3,0.16899999999999998,107.0,119.0,-12.0,91.6,0.525,15.1,42.9,0.29600000000000004,119.0,107.0,12.0
39319,1996-11-02,1997,0,,IND,MIA,1561.4977,1525.6573,0.6861024281083526,0.3138975718916473,1554.059,1533.0961,,,,,,,95.0,97.0,95.6,0.521,18.1,16.2,0.306,101.5,99.4,2.0999999999999943,95.6,0.45899999999999996,17.6,27.8,0.384,99.4,101.5,-2.0999999999999943
39320,1996-11-02,1997,0,,PHO,HOU,1506.7324,1505.0829,0.6422496188135172,0.35775038118648284,1487.9078,1523.9075,,,,,,,95.0,110.0,91.2,0.542,15.1,46.3,0.226,120.6,104.2,16.39999999999999,91.2,0.43700000000000006,4.8,17.0,0.218,104.2,120.6,-16.39999999999999
39321,1996-11-02,1997,0,,MIL,BOS,1391.3833,1442.0605,0.5705081918603778,0.4294918081396222,1405.8533,1427.5906,,,,,,,124.0,102.0,94.3,0.419,14.8,34.0,0.43799999999999994,108.2,131.5,-23.299999999999997,94.3,0.58,9.3,34.2,0.37,131.5,108.2,23.299999999999997
39322,1996-11-02,1997,0,,LAC,UTA,1420.7834,1647.7349,0.32502104498819284,0.6749789550118072,1416.6306,1651.8877,,,,,,,90.0,95.0,87.0,0.479,12.8,35.0,0.38,109.2,103.5,5.700000000000003,87.0,0.45299999999999996,10.9,24.3,0.293,103.5,109.2,-5.700000000000003
39323,1996-11-03,1997,0,,LAL,MIN,1603.3704,1396.9335,0.8537089996386129,0.14629100036138698,1605.1874,1395.1165,,,,,,,91.0,85.0,90.8,0.433,14.3,26.7,0.171,93.6,100.2,-6.6000000000000085,90.8,0.506,19.5,35.9,0.139,100.2,93.6,6.6000000000000085
39324,1996-11-03,1997,0,,NYK,CHH,1557.9207,1485.588,0.7294880604889027,0.2705119395110973,1567.5536,1475.9551,,,,,,,113.0,86.0,86.4,0.519,21.9,38.9,0.064,99.5,130.8,-31.30000000000001,86.4,0.562,8.9,34.2,0.272,130.8,99.5,31.30000000000001
39325,1996-11-03,1997,0,,SAS,DEN,1576.6639,1423.1863,0.8114002413813222,0.18859975861867784,1556.85,1443.0002,,,,,,,79.0,88.0,91.5,0.42,14.9,27.3,0.247,96.1,86.3,9.799999999999997,91.5,0.36,17.5,29.4,0.33299999999999996,86.3,96.1,-9.799999999999997
39326,1996-11-03,1997,0,,VAN,GSW,1283.5828,1437.9994,0.4223223498070834,0.5776776501929166,1275.1831,1446.399,,,,,,,95.0,105.0,96.5,0.532,19.5,30.0,0.266,108.9,98.5,10.400000000000006,96.5,0.467,13.4,30.8,0.122,98.5,108.9,-10.400000000000006
39327,1996-11-04,1997,0,,UTA,HOU,1651.8877,1523.9075,0.7879077219427826,0.21209227805721745,1641.1128,1534.6824,,,,,,,72.0,75.0,87.4,0.42700000000000005,22.4,23.7,0.355,85.8,82.4,3.3999999999999915,87.4,0.405,16.0,22.9,0.10099999999999999,82.4,85.8,-3.3999999999999915
39328,1996-11-04,1997,0,,POR,ATL,1554.2692,1517.5392,0.6872042534107312,0.3127957465892688,1530.7653,1541.0431,,,,,,,76.0,94.0,87.5,0.507,16.0,25.0,0.257,107.4,86.9,20.5,87.5,0.434,24.9,36.8,0.25,86.9,107.4,-20.5
39329,1996-11-05,1997,0,,TOR,DAL,1315.1635,1377.4578,0.5540508300806943,0.4459491699193057,1320.639,1371.9822,,,,,,,100.0,96.0,92.8,0.445,12.6,33.3,0.28,103.5,107.8,-4.299999999999997,92.8,0.47600000000000003,16.0,35.7,0.22399999999999998,107.8,103.5,4.299999999999997
39330,1996-11-05,1997,0,,CHI,VAN,1748.8831,1275.1831,0.964513882759346,0.035486117240654085,1749.7620000000002,1274.3042,,,,,,,96.0,73.0,88.9,0.40700000000000003,18.6,30.0,0.086,82.2,108.0,-25.799999999999997,88.9,0.47100000000000003,16.7,48.8,0.174,108.0,82.2,25.799999999999997
39331,1996-11-05,1997,0,,GSW,POR,1446.399,1530.7653,0.5224835302700382,0.4775164697299618,1430.2821,1546.8822,,,,,,,93.0,111.0,95.7,0.564,15.9,34.9,0.163,116.0,97.2,18.799999999999997,95.7,0.462,18.1,33.3,0.26899999999999996,97.2,116.0,-18.799999999999997
