,result,season,team1,team2,d_ELO,d_NetRtg,d_SRS
25815,1,1985,CHI,WSB,-77.81880000000001,-2.0999999999999943,-2.3300000000000005
25816,1,1985,SEA,UTA,8.99519999999984,-1.1999999999999886,-1.1500000000000001
25817,1,1985,PHI,CLE,148.23410000000058,6.6000000000000085,6.1
25818,0,1985,DET,BOS,-69.13349999999991,-3.0999999999999943,-2.9
25819,0,1985,NJN,ATL,54.55939999999987,2.5,2.35
25821,0,1985,CLE,NJN,-137.0757000000001,-5.384146341463414,-1.8471951219512195
25822,0,1985,ATL,PHI,-28.851599999999962,-3.50731707317074,2.3915853658536586
25823,0,1985,DAL,HOU,91.66540000000009,3.3000000000000114,3.27
25824,1,1985,NYK,DET,-10.92820000000006,0.6207317073170731,-6.236219512195121
25825,1,1985,MIL,CHI,199.10180000000014,9.053658536585363,12.011585365853659
25826,1,1985,DEN,GSW,56.73009999999999,2.299999999999997,2.08
25827,0,1985,KCK,POR,-38.06489999999985,-5.0,-4.75
25828,0,1985,IND,WSB,-23.414999999999964,-1.5524390243902468,3.682804878048781
25829,0,1985,UTA,LAC,51.01870000000008,3.845121951219515,3.6882926829268294
25830,1,1985,SAS,LAL,-130.57819999999992,-3.8000000000000114,-3.82
25831,1,1985,DAL,LAL,-127.92110000000002,-3.271951219512198,-6.074999999999999
25832,0,1985,SEA,PHO,-39.275100000000066,-1.0048780487804823,0.17475609756097554
25833,1,1985,CHI,MIL,-201.46680000000015,-8.986585365853657,-3.5619512195121947
25834,1,1985,LAL,GSW,155.87270000000012,6.663414634146347,8.055670731707316
25835,0,1985,KCK,CHI,48.40960000000018,2.9621951219512135,5.114918699186991
25836,1,1985,HOU,DAL,-67.01760000000013,-3.1475609756097676,-3.4105487804878045
25837,1,1985,DET,CLE,167.32600000000002,7.73658536585367,11.31341463414634
25838,1,1985,PHO,LAC,111.91430000000014,3.8810975609756184,2.7595121951219515
25839,0,1985,NJN,PHI,-8.336700000000064,-1.1280487804878132,-1.1097560975609757
25840,1,1985,WSB,ATL,-74.18289999999979,-1.8609756097560919,-8.311951219512196
25841,1,1985,POR,SEA,37.039800000000014,3.9768292682926716,1.2615853658536587
25842,1,1985,UTA,NYK,-93.93020000000001,-3.2768292682926887,-8.220304878048779
25843,1,1985,SAS,DEN,-16.74279999999999,0.7597560975609727,8.45451219512195
25844,1,1985,BOS,NJN,119.70640000000003,5.570731707317079,10.157967479674797
25845,1,1985,MIL,WSB,119.04840000000013,6.931707317073174,5.721869918699187
25846,0,1985,IND,DAL,-64.60069999999996,-4.774390243902447,-7.545
25847,1,1985,SEA,LAL,-125.22219999999993,-4.342682926829266,-1.2230894308943083
25848,0,1985,ATL,DET,-48.21269999999981,-4.543902439024402,-6.470894308943089
25849,1,1985,PHO,POR,24.707999999999856,-2.923170731707312,-3.5634146341463406
25850,1,1985,LAC,NYK,-108.3632,-6.756097560975618,-7.8323780487804875
25851,1,1985,DEN,CHI,85.91669999999999,3.5329268292682867,0.5990853658536581
25852,0,1985,KCK,HOU,-3.918100000000095,0.6524390243902496,0.29945121951219544
25853,0,1985,GSW,SAS,-60.40390000000002,-3.5414634146341406,-3.626829268292683
25854,1,1985,LAL,SAS,89.53579999999988,3.532926829268303,3.041920731707317
25855,0,1985,CLE,IND,-25.147500000000036,-0.2036585365853698,3.6671544715447157
25856,1,1985,BOS,DET,91.2530999999999,3.369512195121947,4.233231707317074
25857,0,1985,WSB,MIL,-133.8673000000001,-7.521951219512197,-4.738841463414634
25858,1,1985,UTA,SEA,-4.448199999999815,1.4597560975609651,-0.8127337398373984
25859,1,1985,PHI,DAL,107.8134,2.404878048780485,2.030650406504065
25860,1,1985,ATL,WSB,56.390100000000075,1.8182926829268238,3.0468902439024386
25861,1,1985,HOU,NYK,-104.33560000000011,-6.212195121951231,-7.371829268292682
25863,0,1985,DAL,PHO,-92.52870000000007,-1.1097560975609755,-1.7893089430894307
25864,1,1985,NJN,IND,110.73329999999987,5.27682926829268,8.919319105691056
25865,0,1985,KCK,DEN,-73.85310000000004,-0.9451219512195121,1.0367073170731707
25866,1,1985,MIL,CLE,221.98720000000003,9.208536585365863,4.55265243902439
25867,0,1985,LAC,POR,-80.77980000000002,-6.649390243902443,-4.316219512195122
25868,1,1985,SAS,NYK,-39.34960000000001,-3.8158536585365934,-2.7073475609756095
25869,1,1985,LAL,POR,52.8467999999998,-0.28292682926828494,-0.07214024390243878
25870,1,1985,LAC,DEN,-79.6860999999999,-2.2987804878048808,2.928658536585365
25871,0,1985,CLE,DET,-194.10550000000012,-8.157317073170743,-9.097487804878046
25872,1,1985,SAS,SEA,26.651800000000094,0.5792682926829136,-0.37417073170731685
25873,1,1985,POR,PHO,-36.07529999999997,2.634146341463409,2.564975609756097
25874,1,1985,DAL,NYK,-70.78049999999985,-3.7268292682926827,-3.6613048780487802
25875,0,1985,LAL,DEN,97.74880000000007,4.515853658536593,7.412256097560975
25876,1,1985,HOU,KCK,45.24259999999981,-0.23292682926829777,0.8270121951219516
25877,1,1985,MIL,ATL,87.2523000000001,5.818292682926837,1.4112926829268293
25878,0,1985,DET,CHI,163.28940000000011,7.75,8.258569105691056
25879,1,1985,BOS,LAC,219.38290000000006,9.464024390243905,10.08530081300813
25880,1,1985,NJN,WSB,93.04989999999998,4.201219512195117,4.170861788617886
